postcode,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 15-24 years,Technical or Further Educ Inst (incl. TAFE Colleges): Part-time student: Aged 25 years and over,Technical or Further Educ Inst (incl. TAFE Colleges): Full-time/Part-time student status not stated,University or other Tertiary Institution: Full-time student: Aged 15-24 years,University or other Tertiary Institution: Full-time student: Aged 25 years and over,University or other Tertiary Institution: Part-time student: Aged 15-24 years,University or other Tertiary Institution: Part-time student: Aged 25 years and over,University or other Tertiary Institution: Full-time/Part-time student status not stated,Other: Full-time student,Other: Part-time student,Total
"2500, NSW",175,233,209,351,9,4273,1677,259,659,17,116,170,8149
"2502, NSW",34,58,54,109,9,165,55,21,69,0,15,63,654
"2505, NSW",19,13,22,36,0,76,38,18,40,0,13,18,289
"2506, NSW",24,23,52,48,6,120,34,24,46,0,14,27,423
"2508, NSW",23,11,100,57,6,169,41,32,105,6,6,38,591
"2515, NSW",23,13,50,58,0,225,117,33,147,0,14,46,733
"2516, NSW",15,6,33,32,0,142,38,23,84,0,7,22,398
"2517, NSW",28,32,90,100,0,251,81,39,161,0,10,58,857
"2518, NSW",55,63,123,139,5,381,150,66,200,6,42,88,1313
"2519, NSW",55,61,82,127,0,738,323,75,183,3,30,73,1750
"2522, NSW",0,0,0,0,0,314,24,9,0,0,0,0,347
"2525, NSW",31,35,76,66,5,298,89,46,150,5,21,41,850
"2526, NSW",47,33,118,116,4,362,72,66,178,3,31,45,1075
"2527, NSW",66,45,179,160,9,282,76,56,154,0,23,114,1158
"2528, NSW",76,72,156,161,11,224,97,40,131,6,47,101,1125
"2529, NSW",69,57,203,181,7,436,106,109,214,3,33,98,1528
"2530, NSW",78,83,209,199,11,418,158,61,231,0,51,130,1637
"2533, NSW",40,21,121,101,4,269,70,38,171,0,21,73,921
"2534, NSW",15,8,27,34,0,117,32,17,65,4,4,19,334
"2535, NSW",7,7,35,39,3,57,25,8,67,0,11,15,274
"2536, NSW",26,23,98,116,5,39,51,12,95,4,20,56,541
"2537, NSW",12,18,55,94,3,28,26,12,87,0,11,37,385
"2538, NSW",3,11,15,18,0,7,6,0,20,0,3,8,89
"2539, NSW",20,29,82,110,7,45,54,17,116,0,17,56,559
"2541, NSW",70,85,168,201,4,187,138,42,213,3,40,84,1236
"2545, NSW",0,0,14,7,0,4,4,0,11,0,0,3,39
"2546, NSW",9,13,27,55,3,14,26,0,55,0,10,15,217
"2548, NSW",6,11,37,45,0,22,19,11,64,0,3,20,238
"2549, NSW",0,3,10,20,0,7,6,0,22,0,4,15,97
"2550, NSW",27,15,78,104,3,35,50,23,124,0,14,47,514
"2551, NSW",3,5,22,24,0,9,10,0,12,0,3,7,95
"2555, NSW",0,0,0,0,0,3,0,0,4,0,0,0,7
"2556, NSW",3,0,20,12,3,63,7,7,7,0,3,7,136
"2557, NSW",22,20,55,36,3,151,31,26,83,0,11,28,462
"2558, NSW",48,27,75,88,3,243,66,45,86,0,39,47,760
"2559, NSW",12,11,14,14,0,18,7,8,3,0,20,11,135
"2560, NSW",249,231,474,542,18,1489,519,239,579,26,238,347,4944
"2563, NSW",0,0,4,3,0,3,0,0,3,0,0,0,21
"2564, NSW",62,71,57,117,3,274,110,40,88,0,41,66,932
"2565, NSW",69,80,93,139,3,534,165,54,171,4,56,125,1492
"2566, NSW",74,96,152,195,7,631,211,92,197,9,69,131,1876
"2567, NSW",114,63,356,231,4,745,196,136,361,4,55,162,2428
"2568, NSW",5,3,8,8,0,23,6,6,16,0,6,0,79
"2569, NSW",0,5,8,7,0,27,4,3,16,0,0,7,74
"2570, NSW",83,58,320,250,3,673,221,118,395,0,47,139,2306
"2571, NSW",32,7,94,66,0,174,38,30,108,3,20,45,619
"2572, NSW",13,4,42,28,7,49,26,10,18,0,0,14,211
"2573, NSW",17,10,36,28,0,57,29,12,37,4,3,23,249
"2574, NSW",10,0,58,34,0,47,14,12,31,0,3,28,256
"2575, NSW",17,27,102,128,6,114,50,39,129,9,13,79,711
"2576, NSW",14,15,55,62,0,106,46,24,134,0,19,66,537
"2577, NSW",25,23,97,113,0,78,51,21,156,7,31,58,662
"2578, NSW",4,0,14,17,0,15,6,6,25,0,6,8,93
"2579, NSW",5,7,24,33,0,18,13,4,28,0,6,17,156
"2580, NSW",65,41,241,256,9,133,113,61,294,4,51,146,1415
"2581, NSW",7,0,13,23,0,9,7,3,27,0,0,0,84
"2582, NSW",24,16,66,129,0,91,51,42,173,0,26,40,664
"2583, NSW",11,8,37,26,0,16,6,5,26,0,0,9,145
"2584, NSW",3,0,0,4,0,3,5,0,5,0,0,0,23
"2585, NSW",0,0,0,0,0,0,0,0,0,0,0,0,9
"2586, NSW",0,6,15,30,0,7,10,0,17,0,0,3,92
"2587, NSW",0,4,14,25,0,0,10,8,16,0,5,4,79
"2588, NSW",0,0,0,0,0,0,0,0,5,0,0,0,7
"2590, NSW",18,14,44,46,4,19,15,16,30,0,13,16,242
"2594, NSW",18,16,79,101,8,41,15,20,73,0,10,33,416
"2619, NSW",15,7,54,76,0,232,60,43,220,3,14,37,766
"2621, NSW",13,6,46,55,0,47,27,14,99,5,4,27,347
"2622, NSW",4,0,26,26,0,8,13,4,36,0,5,20,143
"2623, NSW",0,0,3,6,0,0,6,0,7,0,3,0,21
"2625, NSW",4,6,7,14,0,21,7,8,34,0,3,6,99
"2626, NSW",0,0,7,0,0,7,0,0,6,0,0,0,18
"2627, NSW",9,13,62,110,5,133,48,43,182,0,14,58,679
"2628, NSW",0,0,14,30,0,12,7,6,26,0,11,5,110
"2629, NSW",0,6,3,8,0,0,3,0,4,0,0,0,25
"2630, NSW",6,12,57,91,0,42,23,19,81,0,21,27,383
"2631, NSW",0,0,3,0,0,0,0,0,9,0,3,0,21
"2632, NSW",0,0,12,11,0,5,0,0,14,0,0,5,47
"2633, NSW",0,0,0,0,0,6,0,0,7,0,0,4,14
"2640, NSW",118,106,227,338,0,713,246,93,413,0,73,169,2499
"2641, NSW",48,78,113,196,0,111,69,39,107,0,30,70,870
"2642, NSW",4,11,30,45,0,28,13,6,26,0,3,16,183
"2643, NSW",9,6,17,22,0,10,5,7,17,6,3,8,103
"2644, NSW",0,4,17,17,0,9,9,5,14,0,0,9,77
"2645, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0
"2646, NSW",15,7,45,63,0,21,21,5,31,0,3,12,234
"2647, NSW",8,9,10,9,0,9,4,0,0,0,0,7,51
"2648, NSW",5,6,9,24,0,7,5,0,16,0,0,14,85
"2649, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0
"2650, NSW",160,165,472,564,19,1049,474,207,783,9,93,201,4186
"2651, NSW",77,40,18,30,0,16,6,11,31,0,79,14,315
"2652, NSW",7,4,34,33,0,28,5,10,28,0,0,14,178
"2653, NSW",10,0,17,15,0,4,4,0,18,0,0,3,84
"2655, NSW",0,0,6,9,0,0,0,0,13,0,6,0,49
"2656, NSW",0,0,3,6,0,3,0,0,5,0,0,6,25
"2658, NSW",3,0,5,7,0,6,0,0,7,0,0,10,41
"2659, NSW",0,0,4,6,0,8,0,0,0,0,3,3,28
"2660, NSW",6,6,17,10,0,4,3,0,6,0,5,4,59
"2661, NSW",4,0,0,3,0,36,7,7,18,0,51,6,132
"2663, NSW",6,7,25,41,0,18,15,12,37,0,9,15,179
"2665, NSW",0,0,3,10,0,3,3,4,4,0,3,3,45
"2666, NSW",9,0,42,48,0,18,7,5,28,0,0,16,181
"2668, NSW",0,0,3,0,0,6,0,0,0,0,0,0,14
"2669, NSW",0,0,8,9,0,5,0,5,5,0,0,6,35
"2671, NSW",10,5,20,33,0,8,0,5,23,0,4,9,121
"2672, NSW",3,4,8,8,0,4,0,3,7,0,0,0,41
"2675, NSW",5,0,11,7,0,0,0,0,12,0,0,3,32
"2678, NSW",0,0,0,0,0,892,43,13,3,0,0,0,950
"2680, NSW",32,51,130,217,4,67,48,38,135,0,41,91,854
"2681, NSW",0,0,5,12,0,0,0,0,20,0,0,6,55
"2700, NSW",3,9,34,48,0,3,12,5,30,0,6,8,160
"2701, NSW",3,0,9,9,0,20,4,4,25,0,0,5,91
"2702, NSW",0,0,0,8,0,0,0,0,11,0,0,0,25
"2703, NSW",0,0,0,6,0,0,0,0,7,0,0,0,16
"2705, NSW",14,20,53,86,3,16,18,11,55,0,6,27,308
"2706, NSW",4,0,7,8,0,0,3,0,3,0,0,4,42
"2707, NSW",0,0,7,14,0,6,0,0,11,0,0,4,45
"2710, NSW",20,13,58,74,0,16,11,16,54,0,6,31,295
"2711, NSW",0,5,20,18,0,11,3,0,18,0,0,6,82
"2712, NSW",0,0,3,10,0,3,0,0,8,0,0,3,38
"2713, NSW",5,10,19,21,0,4,7,5,22,0,0,3,93
"2714, NSW",0,0,9,18,0,3,4,0,10,0,0,5,68
"2715, NSW",0,0,5,9,0,4,0,0,8,0,0,4,29
"2716, NSW",0,0,8,8,0,0,0,0,12,0,0,0,25
"2717, NSW",0,3,7,6,0,4,0,0,7,0,4,8,41
"2720, NSW",15,15,66,82,0,23,13,10,53,0,10,14,303
"2721, NSW",0,0,0,0,0,0,0,0,0,0,0,3,6
"2722, NSW",3,6,18,21,0,18,0,5,17,0,3,0,98
"2725, NSW",0,0,0,0,0,0,0,0,0,0,0,0,8
"2726, NSW",0,0,0,0,0,0,0,0,0,0,0,0,5
"2727, NSW",0,0,0,6,0,0,0,0,0,0,3,0,8
"2729, NSW",0,0,8,13,0,4,0,0,4,3,6,4,51
"2730, NSW",0,5,4,3,0,0,4,0,3,0,0,3,33
"2731, NSW",9,6,30,46,4,25,11,6,46,3,3,27,197
"2732, NSW",0,0,8,5,0,0,0,0,7,0,0,0,32
"2733, NSW",0,0,0,4,0,0,5,0,3,0,0,0,13
"2734, NSW",14,0,3,3,0,3,0,0,0,0,3,4,29
"2735, NSW",0,0,6,5,0,0,0,0,0,0,0,0,11
"2736, NSW",0,0,0,0,0,0,0,0,5,0,0,0,14
"2737, NSW",0,7,0,7,0,5,0,0,4,0,0,0,21
"2738, NSW",3,0,9,9,0,14,4,0,16,0,5,3,54
"2739, NSW",4,0,0,13,0,11,0,4,10,0,3,3,52
"2745, NSW",83,52,231,175,4,638,150,128,273,8,55,124,1925
"2747, NSW",117,159,309,350,9,720,386,140,371,11,85,225,2890
"2748, NSW",3,0,18,0,0,55,9,8,12,0,0,5,115
"2749, NSW",36,25,138,140,4,253,76,53,158,4,23,63,990
"2750, NSW",114,153,303,369,4,630,261,144,464,3,68,175,2693
"2752, NSW",16,6,54,29,0,66,10,21,27,0,7,18,245
"2753, NSW",58,21,161,140,0,356,133,66,158,0,23,75,1186
"2754, NSW",22,3,44,46,0,72,36,23,38,0,8,17,311
"2755, NSW",0,0,0,0,0,0,0,0,4,0,0,0,11
"2756, NSW",93,71,295,250,3,468,131,101,269,12,45,114,1843
"2757, NSW",0,3,9,9,0,15,3,4,6,0,0,0,48
"2758, NSW",29,9,96,62,0,134,27,26,78,0,6,36,503
"2759, NSW",69,61,234,170,6,532,119,112,201,7,51,101,1657
"2760, NSW",116,155,183,268,7,491,214,100,219,4,120,144,2023
"2761, NSW",127,119,163,225,9,961,206,140,253,17,105,151,2474
"2762, NSW",21,15,50,40,0,99,32,18,51,0,9,24,358
"2763, NSW",93,96,179,232,3,918,252,136,333,9,100,153,2500
"2765, NSW",29,22,133,99,3,228,67,54,119,0,21,56,834
"2766, NSW",74,66,83,105,4,459,138,87,125,5,53,76,1280
"2767, NSW",89,99,100,152,11,714,211,109,186,7,90,102,1866
"2768, NSW",125,102,109,159,0,997,236,156,311,8,176,122,2504
"2769, NSW",18,21,30,75,5,284,88,47,165,3,24,55,805
"2770, NSW",256,346,303,466,13,956,375,182,336,16,270,304,3826
"2773, NSW",16,9,32,23,0,160,42,25,104,0,15,26,459
"2774, NSW",37,22,84,98,0,243,78,46,238,0,12,59,916
"2775, NSW",0,0,12,19,0,3,0,5,11,0,0,0,63
"2776, NSW",9,18,23,47,0,88,25,17,55,0,10,10,290
"2777, NSW",46,32,139,148,3,355,96,60,279,0,33,78,1255
"2778, NSW",5,6,14,15,0,44,11,6,48,0,7,7,171
"2779, NSW",15,16,37,62,0,70,33,18,92,0,13,25,389
"2780, NSW",53,61,57,166,0,303,135,21,209,6,37,67,1099
"2782, NSW",9,19,30,50,0,54,37,11,104,4,6,30,351
"2783, NSW",12,3,20,26,0,32,14,8,43,0,9,26,175
"2784, NSW",0,6,4,10,0,20,3,4,28,0,0,0,77
"2785, NSW",5,5,24,50,0,23,25,12,63,0,4,20,242
"2786, NSW",6,4,0,11,0,4,6,0,18,0,0,3,62
"2787, NSW",12,8,22,33,0,22,7,7,32,0,0,17,154
"2790, NSW",50,37,118,127,7,58,39,30,114,0,16,52,658
"2791, NSW",0,0,3,4,0,0,0,0,0,0,0,0,9
"2792, NSW",0,0,0,0,0,0,0,0,4,0,0,0,4
"2793, NSW",0,5,10,13,0,6,3,0,0,0,0,4,28
"2794, NSW",19,21,66,104,3,21,26,15,55,0,13,29,382
"2795, NSW",124,116,268,408,14,1395,264,152,535,4,53,158,3485
"2797, NSW",0,0,0,0,0,0,0,0,4,0,0,0,13
"2798, NSW",4,3,3,18,0,8,0,0,31,0,0,3,74
"2799, NSW",7,8,38,42,0,31,10,12,27,0,3,12,189
"2800, NSW",128,106,341,563,6,527,275,97,559,3,49,161,2806
"2803, NSW",0,0,0,0,0,3,0,0,0,0,0,0,7
"2804, NSW",4,6,8,28,0,12,3,4,23,0,0,5,87
"2805, NSW",0,0,0,0,0,0,0,0,0,0,3,0,11
"2806, NSW",0,3,7,6,0,3,0,5,3,0,0,0,22
"2807, NSW",0,0,3,0,0,0,0,0,0,0,0,0,13
"2808, NSW",0,0,0,0,0,0,0,0,0,0,0,0,5
"2809, NSW",0,0,0,0,0,4,0,0,0,0,0,0,6
"2810, NSW",0,6,14,16,0,6,6,4,10,0,0,8,63
"2817, NSW",4,0,0,0,0,0,0,0,0,0,0,5,12
"2818, NSW",0,0,8,4,0,0,3,0,7,0,5,0,27
"2820, NSW",22,9,37,47,0,13,13,13,30,0,11,11,203
"2821, NSW",9,10,22,34,0,11,5,4,27,0,7,8,140
"2822, NSW",0,0,0,5,0,3,0,0,4,0,0,0,22
"2823, NSW",7,3,5,5,0,11,4,0,15,0,0,3,53
"2824, NSW",0,5,6,21,0,4,4,5,17,0,0,4,60
"2825, NSW",0,7,23,16,0,5,4,6,19,0,0,7,85
"2826, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0
"2827, NSW",4,4,16,20,0,10,4,0,18,3,0,3,89
"2828, NSW",0,0,5,3,0,6,0,0,0,0,0,0,10
"2829, NSW",3,5,13,26,0,7,0,4,20,0,0,3,85
"2830, NSW",138,104,325,445,3,201,149,83,408,3,56,152,2076
"2831, NSW",3,6,11,19,3,0,5,0,9,0,0,5,67
"2832, NSW",8,0,10,12,0,0,3,3,20,0,3,6,69
"2833, NSW",0,0,0,4,0,0,0,0,3,0,0,0,6
"2834, NSW",7,13,7,23,0,3,5,0,14,0,4,3,78
"2835, NSW",3,0,24,57,0,8,3,7,43,0,7,16,167
"2836, NSW",5,4,0,0,0,0,0,0,4,0,8,5,27
"2838, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0
"2839, NSW",4,5,4,14,0,0,3,0,14,0,0,5,47
"2840, NSW",5,7,7,17,0,4,7,3,21,0,4,3,79
"2842, NSW",0,4,4,3,0,0,0,4,5,0,0,0,15
"2843, NSW",7,0,7,12,0,3,3,0,6,0,5,8,42
"2844, NSW",0,0,6,14,0,3,0,9,3,0,0,0,49
"2845, NSW",6,4,12,15,0,7,0,0,24,0,0,3,76
"2846, NSW",0,0,0,0,0,0,0,0,0,0,0,0,16
"2847, NSW",3,3,21,26,0,11,7,0,20,0,0,0,98
"2848, NSW",0,3,10,15,0,3,4,5,5,0,0,3,39
"2849, NSW",0,0,9,14,0,0,8,0,7,0,7,4,54
"2850, NSW",24,21,126,185,3,23,43,28,155,0,13,51,668
"2852, NSW",4,4,27,31,0,9,13,6,17,0,6,11,115
"2864, NSW",4,0,7,9,0,4,0,0,6,0,0,3,31
"2865, NSW",0,0,7,7,0,0,0,0,3,0,0,0,23
"2866, NSW",6,7,25,29,0,8,8,0,25,0,4,9,126
"2867, NSW",0,0,0,4,0,0,0,0,6,0,0,0,12
"2868, NSW",0,0,3,0,0,0,0,0,5,0,0,0,10
"2869, NSW",7,0,3,13,0,3,0,0,5,0,0,3,45
"2870, NSW",26,10,98,113,4,32,28,33,93,0,7,44,480
"2871, NSW",5,6,64,73,0,26,15,14,42,0,3,18,274
"2873, NSW",0,0,0,0,0,0,0,0,0,0,0,0,4
"2874, NSW",0,0,0,8,0,0,0,0,3,0,0,4,11
"2875, NSW",3,0,3,3,0,0,0,0,5,0,0,0,25
"2876, NSW",0,0,7,4,0,3,0,0,0,0,5,3,15
"2877, NSW",0,3,7,18,0,5,3,4,17,0,4,12,89
"2878, NSW",0,0,5,0,0,0,0,0,0,0,0,0,7
"2879, NSW",0,0,0,8,0,0,0,0,0,0,0,0,12
"2880, NSW",52,61,110,195,4,41,46,26,163,5,19,70,795
"2898, NSW",0,0,0,0,0,3,0,0,9,0,0,0,17
"3000, VIC",743,848,109,435,6,9889,2234,194,577,30,890,727,16680
"3002, VIC",13,20,9,27,0,153,115,29,169,5,8,42,590
"3003, VIC",40,92,13,54,0,496,226,20,115,0,59,71,1202
"3004, VIC",22,58,15,60,0,441,220,36,193,3,29,68,1155
"3005, VIC",0,11,0,6,0,36,18,0,18,0,0,9,95
"3006, VIC",171,196,61,152,0,1860,672,85,387,9,232,243,4061
"3008, VIC",97,113,24,69,0,969,391,31,148,5,126,125,2091
"3010, VIC",0,0,0,0,0,1604,100,9,3,0,0,0,1717
"3011, VIC",146,192,61,166,6,1253,800,85,466,16,167,205,3565
"3012, VIC",132,172,49,180,3,995,573,83,416,3,168,214,2991
"3013, VIC",52,38,30,104,0,363,221,44,273,0,48,99,1271
"3015, VIC",40,41,55,100,3,403,174,41,284,4,33,108,1284
"3016, VIC",36,21,39,59,0,521,111,53,223,3,31,78,1175
"3018, VIC",34,25,26,67,0,250,106,26,153,8,24,75,791
"3019, VIC",66,69,26,53,3,445,170,34,59,0,112,101,1139
"3020, VIC",297,292,128,219,23,1500,597,124,279,19,462,488,4431
"3021, VIC",425,326,160,253,10,1784,681,176,262,22,544,547,5192
"3022, VIC",17,21,0,17,0,61,36,8,25,0,23,29,242
"3023, VIC",318,234,185,323,6,1782,546,176,431,13,335,454,4793
"3024, VIC",92,79,88,159,3,367,196,64,211,14,110,199,1579
"3025, VIC",43,26,39,56,4,249,68,25,88,0,55,80,746
"3026, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3027, VIC",21,30,14,36,0,182,96,9,74,0,44,54,559
"3028, VIC",121,98,98,179,0,739,340,96,243,10,190,251,2350
"3029, VIC",428,424,311,557,15,2171,993,274,738,18,547,811,7293
"3030, VIC",397,379,303,577,20,2143,911,203,878,20,538,797,7159
"3031, VIC",101,110,48,109,0,732,479,83,382,3,135,181,2363
"3032, VIC",130,168,65,170,10,1496,684,136,500,7,165,254,3779
"3033, VIC",38,18,44,58,0,393,71,46,112,0,23,85,895
"3034, VIC",36,24,28,40,4,299,71,25,79,6,38,71,714
"3036, VIC",11,0,25,12,3,207,15,23,50,0,8,27,389
"3037, VIC",221,157,200,200,0,1564,333,194,291,11,234,364,3764
"3038, VIC",89,63,121,109,4,1068,156,120,142,14,91,159,2149
"3039, VIC",45,62,36,71,0,550,214,53,223,6,39,93,1392
"3040, VIC",72,69,80,111,0,1103,298,107,347,5,67,125,2386
"3041, VIC",36,25,50,52,0,420,97,39,126,0,30,66,947
"3042, VIC",28,25,51,48,5,339,112,37,123,0,26,83,875
"3043, VIC",86,59,55,96,4,367,101,45,128,3,65,99,1110
"3044, VIC",100,97,71,158,5,798,292,90,330,9,93,175,2211
"3045, VIC",0,0,0,0,0,0,5,0,8,0,0,0,10
"3046, VIC",199,138,118,177,8,963,509,95,285,9,232,250,2983
"3047, VIC",208,169,79,137,15,568,277,42,98,12,237,185,2028
"3048, VIC",146,123,62,104,7,542,150,60,63,3,233,154,1647
"3049, VIC",51,27,45,42,0,258,38,25,56,0,18,62,623
"3050, VIC",0,0,0,0,0,0,0,3,8,0,0,0,13
"3051, VIC",120,105,33,94,3,2385,824,68,332,14,112,132,4220
"3052, VIC",15,25,5,17,0,981,351,37,111,4,40,46,1650
"3053, VIC",238,146,27,78,7,6203,1269,107,249,13,300,145,8768
"3054, VIC",21,29,18,46,0,533,302,51,247,0,19,57,1324
"3055, VIC",47,76,34,72,0,696,522,62,320,6,54,77,1977
"3056, VIC",88,146,37,174,4,1458,979,136,611,10,69,168,3886
"3057, VIC",43,65,16,79,0,584,460,53,308,3,37,81,1735
"3058, VIC",139,154,81,218,6,1217,804,135,627,3,139,175,3698
"3059, VIC",54,35,65,61,0,602,70,63,99,0,39,82,1176
"3060, VIC",64,60,48,74,0,370,220,34,113,0,103,106,1218
"3061, VIC",43,24,18,23,3,120,40,17,21,0,28,39,377
"3062, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0
"3063, VIC",0,0,0,4,0,18,5,0,0,0,0,3,31
"3064, VIC",521,418,266,465,16,1995,596,228,482,20,540,606,6174
"3065, VIC",37,65,7,49,0,350,305,40,291,4,78,110,1346
"3066, VIC",35,78,17,75,4,297,234,32,228,5,37,83,1121
"3067, VIC",33,54,17,74,0,331,261,42,194,0,41,61,1111
"3068, VIC",31,66,26,92,3,582,460,67,500,4,32,120,1989
"3070, VIC",65,120,40,147,0,795,509,75,548,4,35,127,2465
"3071, VIC",79,78,39,125,3,572,364,53,422,0,56,108,1906
"3072, VIC",176,216,81,230,3,1222,737,110,497,7,153,232,3664
"3073, VIC",238,284,141,312,12,1408,981,146,491,14,288,373,4676
"3074, VIC",142,111,52,111,5,537,218,38,103,4,122,141,1567
"3075, VIC",121,108,51,100,6,556,207,66,123,10,135,171,1652
"3076, VIC",192,179,117,217,8,769,305,86,219,4,186,212,2505
"3078, VIC",54,54,25,97,3,503,192,57,231,0,34,63,1315
"3079, VIC",51,38,35,55,0,639,228,72,214,0,25,87,1448
"3081, VIC",92,77,44,95,10,418,224,38,163,3,70,112,1348
"3082, VIC",144,112,145,154,3,1043,284,95,212,11,88,152,2447
"3083, VIC",153,138,106,176,3,2761,1155,137,268,7,168,174,5247
"3084, VIC",66,47,66,102,0,854,286,86,300,6,50,117,1990
"3085, VIC",58,38,25,73,4,482,191,40,171,4,74,64,1230
"3086, VIC",9,0,0,0,0,911,73,9,0,0,0,0,1006
"3087, VIC",24,25,33,61,0,202,74,27,86,0,27,50,610
"3088, VIC",104,33,111,151,3,653,177,79,289,3,41,118,1759
"3089, VIC",46,17,101,62,0,353,76,33,110,0,20,45,863
"3090, VIC",10,0,24,10,0,95,10,11,17,0,6,0,184
"3091, VIC",0,3,16,16,0,49,4,8,10,0,3,8,118
"3093, VIC",5,5,11,24,0,103,35,7,39,4,4,14,267
"3094, VIC",28,15,39,36,0,172,51,15,108,0,18,41,522
"3095, VIC",81,34,174,146,8,860,163,97,303,3,55,123,2044
"3096, VIC",4,3,19,11,0,58,9,5,12,0,10,6,143
"3097, VIC",4,0,10,4,0,43,8,0,24,0,0,10,106
"3099, VIC",10,5,42,22,0,122,25,16,50,0,8,20,318
"3101, VIC",66,69,27,118,3,1299,385,147,360,5,64,135,2686
"3102, VIC",17,20,9,24,0,298,64,32,77,4,3,29,576
"3103, VIC",38,48,14,56,0,853,189,84,157,6,50,92,1591
"3104, VIC",55,50,34,75,0,1129,181,116,222,9,41,119,2027
"3105, VIC",23,25,18,35,0,428,85,37,103,7,27,53,841
"3106, VIC",52,36,56,78,4,658,135,55,140,5,36,106,1354
"3107, VIC",38,37,33,51,3,444,108,54,97,3,30,94,994
"3108, VIC",111,117,47,131,4,966,300,64,213,8,90,154,2203
"3109, VIC",102,98,63,139,10,1211,276,99,232,6,96,244,2569
"3111, VIC",33,17,40,48,0,426,100,44,98,8,20,61,897
"3113, VIC",28,14,28,37,0,295,47,45,91,0,13,39,646
"3114, VIC",13,3,20,12,0,198,19,22,30,0,3,19,332
"3115, VIC",20,5,25,13,0,137,13,23,23,0,0,18,285
"3116, VIC",34,19,67,51,0,218,45,30,87,0,17,48,616
"3121, VIC",96,162,57,223,10,1003,581,119,777,5,118,236,3391
"3122, VIC",136,105,43,119,3,2094,908,119,494,5,106,134,4265
"3123, VIC",44,69,23,74,0,852,365,77,248,0,46,86,1880
"3124, VIC",43,44,36,86,5,1218,266,95,312,13,38,114,2266
"3125, VIC",148,71,42,85,0,2476,681,98,167,4,71,86,3927
"3126, VIC",16,15,7,45,0,472,84,31,109,0,25,35,836
"3127, VIC",54,50,35,93,0,907,194,76,240,8,42,101,1802
"3128, VIC",190,234,71,171,3,1592,596,95,243,8,152,210,3577
"3129, VIC",83,84,47,88,0,803,283,56,185,0,61,152,1848
"3130, VIC",114,94,92,151,0,1228,362,100,378,6,76,219,2829
"3131, VIC",110,89,53,120,0,669,258,68,230,5,67,151,1825
"3132, VIC",54,68,50,115,3,425,165,54,198,0,54,129,1313
"3133, VIC",86,61,65,115,4,826,201,68,211,12,54,120,1821
"3134, VIC",144,119,138,188,7,878,287,105,353,6,133,221,2588
"3135, VIC",85,59,75,139,3,443,140,67,217,7,66,133,1446
"3136, VIC",178,131,242,291,4,892,277,147,432,7,134,275,3009
"3137, VIC",58,34,104,88,0,223,72,25,128,3,27,91,852
"3138, VIC",116,62,148,161,0,437,98,57,173,0,66,128,1456
"3139, VIC",73,22,113,79,3,148,46,19,73,0,18,65,656
"3140, VIC",60,42,129,117,0,271,70,43,128,5,23,86,976
"3141, VIC",118,129,43,153,5,1463,633,147,588,6,82,204,3563
"3142, VIC",25,20,12,51,0,571,189,53,202,0,17,74,1221
"3143, VIC",21,30,12,52,0,380,128,42,153,5,25,49,892
"3144, VIC",34,31,20,36,0,451,136,51,172,3,27,48,992
"3145, VIC",97,87,37,92,0,2163,622,94,264,10,85,119,3661
"3146, VIC",63,61,31,119,0,1219,289,109,375,5,45,118,2431
"3147, VIC",71,68,37,96,3,573,155,58,183,5,30,82,1352
"3148, VIC",86,84,32,65,0,442,205,35,87,4,44,50,1121
"3149, VIC",146,137,90,185,4,1795,449,122,335,14,91,198,3559
"3150, VIC",298,248,126,339,6,3071,719,207,510,17,257,375,6162
"3151, VIC",39,52,21,45,0,671,239,49,77,6,62,59,1319
"3152, VIC",112,116,113,206,3,1199,272,112,273,6,94,194,2695
"3153, VIC",90,82,113,148,0,369,131,44,185,4,52,143,1360
"3154, VIC",9,5,34,23,0,80,6,13,47,0,10,26,259
"3155, VIC",90,65,115,159,3,337,136,58,191,0,66,162,1378
"3156, VIC",169,88,195,215,7,837,214,127,304,10,85,239,2484
"3158, VIC",27,11,44,45,0,135,50,23,88,0,12,45,479
"3159, VIC",9,0,11,24,0,71,19,11,34,0,3,17,207
"3160, VIC",32,18,40,59,5,160,65,24,110,0,17,46,576
"3161, VIC",27,47,31,70,0,738,309,67,254,3,42,67,1665
"3162, VIC",38,28,20,92,0,797,231,87,218,3,35,89,1641
"3163, VIC",141,158,57,166,4,2092,867,110,423,6,142,197,4375
"3165, VIC",100,77,79,140,0,826,209,87,240,0,54,142,1938
"3166, VIC",126,134,70,155,5,1503,519,91,291,7,100,145,3145
"3167, VIC",28,36,28,59,0,329,112,33,80,5,27,54,796
"3168, VIC",193,124,40,107,7,4772,1542,86,182,23,138,121,7331
"3169, VIC",148,132,46,116,4,978,406,68,146,3,132,151,2331
